183;xml-id;auswahl;sender-1;sender-2;recipient-1;recipient-2;sender-placeName;recipient-placeName;date-cert;date-when;date-from;date-to;date-notBefore;date-notAfter;incipit;Handschrift- oder Abschriftennachweis;Umfang;Drucknachweis
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1886-10-05;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch IV, 638–639;;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1886-10-07;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 432;1 Bl., 8°, 1 ½ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 500
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1886-10-09;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 433;1 Bl., 8°, ¾ S.;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1886-10-11;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch IV, 649;;
n;ed_udb_ksr_qtb;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1886-10-24;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 303;1 Dbl., 8°, 4 S.;
n;ed_z4t_l5g_wtb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Neapel;high;1886-10-24;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1886-10-29;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 304;1 Dbl., 8°, 3 S.;
n;;UN;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1886-10-31;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 153–155
n;;UN;Ferdinand Gregorovius;;Margarete Zander;;München;Königsberg;high;1886-11-02;;;;;;h (Hermann Elgnowski): BSB München, NL Gregorovius, Gregoroviusiana 20, Zander Margarete;;D1: Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 501 – D2: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 152–153
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1886-11-03;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 305;1 Dbl., 8°, 2 S.;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1886-11-05;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 306;PK, 1 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1886-11-07;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 434;PK, 1 S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1886-11-10;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 309;1 Dbl., 8°, 1 ¼ S.;
;;UN;Ferdinand Gregorovius;;Gustav Adolf Kardinal Prinz zu Hohenlohe-Schillingsfürst;;München;Rom;high;1886-02-14;;;;;;H: J. A. Stargardt, Kat. 700 (2014), Nr. 445;1 Dbl., 8°, 4 S.;J. A. Stargardt, Kat. 700 (2014), Nr. 445 (Auszug)
n;ed_eqk_4xs_qtb;ED;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1886-11-14;;;;;;H: GSA Weimar, 96/937, 92;1 Dbl., 1 Bl., 8°, 6 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 180–182 (leicht gekürzt)
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1886-11-22;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 310;1 Dbl., 8°, 2 ¼ S.;
n;;UN;Ferdinand Gregorovius;;Rudolf von Gottschall;;München;Leipzig;high;1886-11-22;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 311;BK, 1 ¾ S.;
n;ed_xs4_rnt_qtb;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1886-12-12;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 312;1 Dbl., 8°, 3 ½ S.;
n;ed_cdb_z2h_wtb;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1886-12-12;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 155–157
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1886-12-12;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 435;1 Dbl., 8°, 3 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 502
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1886-12-13;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch V, 65;;
;;UN;Vincenzo Fardella Marchese di Torrearsa;;Ferdinand Gregorovius;;Palermo;München;high;1886-12-16;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 19, 31 (Begleitschreiben zur Ernennung zum Mitglied der Società Siciliana per la Storia Patria, 18.12.1886);1 Bl., 4°, 1 ¾ S. (von Schreiberhand m. eigh. Unterschrift);
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1886-12-19;;;;;;H: GSA Weimar, 96/937, 93;1 Bl., 8°, 1 ¼ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 183 (gekürzt)
n;;UN;Hermann von Thile;;Ferdinand Gregorovius;;Berlin;München;high;1886-12-19;;;;;;;;Johannes Hönig: Staatsmann und Geschichtsschreiber. Altersbriefe des Staatssekretärs Hermann von Thile an Ferdinand Gregorovius. In: Die Kultur. Wissenschaftliche Beilage der Schlesischen Volkszeitung. Jg. 4. Nr. 6. Breslau (Juni) 1928. S. 136–138
n;ed_xy4_zdd_stb;ED;Ferdinand Gregorovius;;Charlotte Klumpp;;München;Meran;high;1886-12-22;;;;;;H: DLA Marbach, Handschriftenabteilung, B: Gregorovius, Ferdinand, 12.104.1;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Ottilie von Thile;Hermann von Thile;München;Berlin;high;1886-12-22;;;;;;H: GSA Weimar, 96/937, 94;1 Dbl., 8°, 4 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 183–184
;ed_svy_bb3_wtb;ED;Ferdinand Gregorovius;;Conte Giovanni Gozzadini;;München;Bologna;high;1886-12-24;;;;;;h: Bologna, Biblioteca dell’Archiginnasio, Ms. Gozzadini 442, 53;1 Dbl., 2 S. (1r, 2r);
n;ed_xh5_fpd_stb;ED;Ferdinand Gregorovius;;Robert Davidsohn;;München;Heidelberg;high;1886-12-24;;;;;;;;Johannes Hönig: Der Geschichtschreiber der Stadt Rom an den Geschichtschreiber von Florenz. Briefe von Ferdinand Gregorovius an Robert Davidsohn. In: Deutsche Rundschau. Bd. 196. Berlin 1923. S. 155
;ed_c4c_w33_wtb;ED;Ferdinand Gregorovius;;Cesare Foucard;;München;Modena;high;1886-12-26;;;;;;H: Biblioteca Nazionale Centrale di Firenze, Fondo Foucard;1 Dbl., 8°, 4 S.;
n;ed_wmc_tq3_wtb;ED;Ferdinand Gregorovius;;Giuseppe De Leva;;München;Padua;high;1886-12-26;;;;;;H: Biblioteca Nazionale Centrale di Firenze, Carteggi Vari 490, 72 (4);1 Dbl., 8°, 3 S.;
;;UN;Ferdinand Gregorovius;;Leopoldo Serra;;München;Bologna;low;1886-12-26;;;;;;H: Galileum Autografi (Stand April 2022);VK (ohne Text + Umschlag mit Poststempel);
n;G000387;ED;Ferdinand Gregorovius;;Guglielmo De Sanctis;Erminia De Sanctis;München;Rom;high;1886-12-27;;;;;;;;Agostino Bartolini: Gregorovius paesista. In: Giornale arcadico. Rivista di scienze, lettere ed arti. Jg. 1. Ser. VI. Fasc. 10. Rom 1906. S. 604
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1886-12-28;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 313;1 Dbl., 8°, 1 ½ S.;
;ed_pgm_wvd_stb;ED;Ferdinand Gregorovius;;Georg von Urlaub;Clara von Urlaub;München;Paris;high;1886-12-31;;;;;;H: BSB München, Autogr., Gregorovius, Ferdinand, 18;BK, 2 S.;
;;UN;Ferdinand Gregorovius;;Giovanni Battista De Rossi;;Rom;Rom;low;1887-05-15;;;;;Mille ringraziamenti per i suoi scritti;H: Rom, Biblioteca Apostolica Vaticana, Vat. Lat. 14279, Carteggio Giovanni Battista De Rossi 1887, fol. 213, Nr. 839;VK, 1 S.;
n;;UN;Ferdinand Gregorovius;;Gertrud Gräfin von Werthern-Beichlingen;;München;München;low;1887-00-00;;;;;das Buch hatte keine Adresse, weil ich es selbst gestern Abend ½ 9 Uhr zu Ihnen brachte. ;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Werthern, Gertrud von, 19;1 Dbl., 8°, 1 ¼ S.;
n;;UN;Ferdinand Gregorovius;;Sigmund Münz;;München;Rom;low;;;;1886-08-02;1886-09-28;[…] Sie haben den armen achtzigjährigen blinden, von tausend Leiden geplagten Reumont unritterlich behandelt;;;D1: Neue Freie Presse. Nr. 9597. Wien 15.5.1891. S. 2 (Auszug) – D2: Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 24
n;;UN;Ferdinand Gregorovius;;Gustav Tyson-Wolff;;München;;high;1887-01-09;;;;;;H: SBB – PK, Musikabteilung, 55 Nachl 41 (TeilNL Gustav Tyson-Wolff), 21;BK, 2 S.;
n;ed_ovy_x41_y5b;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Neapel;high;1887-01-15;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 4 S.;
n;ed_xyd_ryd_45b;ED;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Ottmachau;high;1887-01-20;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Charlotte Boretius;;München;Berlin;high;1887-01-22;;;;;;;;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Mit Briefen an Cotta, Franz Rühl und andere. Stuttgart, Berlin 1921. S. 502–503 (gekürzt)
n;;UN;Ferdinand Gregorovius;;Ludwig Friedländer;;München;Königsberg;high;1887-01-23;;;;;;H: Hessisches Staatsarchiv Marburg, Bestand 340, Depositum Dehio, Teil A: Nachlaß Ludwig Friedländer, A 47;1 Dbl., 8°, 4 S.;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 154–155
;ed_yzp_41b_y5b;ED;Ferdinand Gregorovius;;Cesare Foucard;;München;Modena;high;1887-01-25;;;;;;H: Biblioteca Nazionale Centrale di Firenze, Fondo Foucard;1 Dbl., 8°, 3 ¼ S.;
;ed_qt1_wy1_mxb;ED;Ferdinand Gregorovius;;Eugène Müntz;;München;Paris;high;1887-02-01;;;;;;H: Bibliothèque nationale de France, Département des Manuscrits occidentaux, Correspondance d’Eugène Müntz, NAF 11295, XVIII Godillot–Guyard, 225–226;1 Dbl., 8°, 3 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1887-02-20;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 314;1 Dbl., 8°, 2 ¾ S.;
n;ed_zmh_gjf_45b;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1887-03-04;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 315;1 Dbl., 8°, 3 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1887-03-04;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 436;1 Dbl., 8°, 2 ¾ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 503
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1887-03-05;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch V, 184–185;;
;ed_ab3_cbg_45b;ED;Ferdinand Gregorovius;;Anton Graf von Wolkenstein-Trostburg;;München;St. Petersburg;high;1887-03-06;;;;;;H: Basel, Erbengemeinschaft Wilhelm;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1887-03-09;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 158–159
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1887-03-11;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 316;1 Dbl., 8°, 3 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1887-03-11;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 437;1 Bl., 8°, 2 ½ S. ;
n;ed_ukg_dfm_45b;ED;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1887-03-13;;;;;;H: GSA Weimar, 96/937, 95;2 Dbl., 8°, 6 ½ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 185–187 (stark gekürzt)
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1887-03-18;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 317;1 Dbl., 8°, 1 ¾ S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1887-03-18;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 438;1 Dbl., 8°, 2 ¼ S.;
n;;UN;Ferdinand Gregorovius;;Gertrud Gräfin von Werthern-Beichlingen;;München;München;high;1887-03-18;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Werthern, Gertrud von, 20;1 Dbl., 8°, 2 ½ S.;
n;ed_jcl_scd_2vb;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;Venedig;Rom;high;1887-03-30;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 159–161
n;ed_kdw_xrm_r5b;ED;Ferdinand Gregorovius;;Carl Freiherr Cotta von Cottendorf;;Venedig;Stuttgart;high;1887-04-02;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 439;1 Dbl., 4°, 1 ½ S. (1r–v) + 2 S. (2r–v);
n;;UN;Ferdinand Gregorovius;;Carl Freiherr Cotta von Cottendorf;;Venedig;Stuttgart;high;1887-04-03;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 440;PK, 1 S.;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;Venedig;high;1887-04-05;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch V, 214–215;;
n;;UN;Ferdinand Gregorovius;;Carl Freiherr Cotta von Cottendorf;J. G. Cotta’sche Buchhandlung;Venedig;Stuttgart;high;1887-04-07;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 441 (dabei: Druckvorlage der Protesterklärung des Cotta-Verlags vfrH gegen den Druck der unautorisierten russischen Übersetzung der „Geschichte der Stadt Rom im Mittelalter“, 1 Bl., 12°-quer, 1 S.);1 Dbl., 4°, 2 ½ S. (1r–2r) + 1 S. (2r–2v);D1: Allgemeine Zeitung. Nr. 102. München: Cotta 13.4.1887. S. 1486 (öffentlicher Brief + Beilage) – [und öfter] – D4: Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 504–505 (ohne Beilage)
n;;UN;Ferdinand Gregorovius;;Franz Rühl;;Venedig;Königsberg;high;1887-04-09;;;;;;H: Universitäts- und Landesbibliothek Bonn, NL Franz Rühl, S 2606, 68;PK, 1 S.;
n;ed_nvl_gd4_r5b;ED;Ferdinand Gregorovius;;Elisabeth Seeburg;;Venedig;Rom;high;1887-04-17;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 12;PK, 1 S.;
;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Venedig;Stuttgart;high;1887-04-24;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 442;1 Dbl., 8°, 2 ½ S.;
;;UN;Ferdinand Gregorovius;;Helene Freifrau von Gablenz;;Venedig;Venedig;high;1887-04-25;;;;;;H: SBB – PK, Slg. Autogr., Gregoroviuss. Ferdinand, Bl. 1–2;1 Dbl., 8°, 2 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;Venedig;Berlin;high;1887-04-29;;;;;;H: GSA Weimar, 96/937, 96;1 Dbl., 1 Bl., 8°, 5 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 187–189 (stark gekürzt)
n;;UN;Hermann von Thile;;Ferdinand Gregorovius;;Berlin;Venedig;high;1887-05-01;;;;;;;;Johannes Hönig: Staatsmann und Geschichtsschreiber. Altersbriefe des Staatssekretärs Hermann von Thile an Ferdinand Gregorovius. In: Die Kultur. Wissenschaftliche Beilage der Schlesischen Volkszeitung. Jg. 4. Nr. 6. Breslau (Juni) 1928. S. 138–139
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;Venedig;Berlin;high;1887-05-04;;;;;;H: Biblioteka Jagiellońska Krakau;BK, 2 S.;
n;ed_o1y_jld_2vb;ED;Ferdinand Gregorovius;;Giuseppe De Leva;;Venedig;Padua;high;1887-05-07;;;;;;H: Biblioteca Nazionale Centrale di Firenze, Carteggi Vari 490, 72 (5);1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;Rom;Rom;high;1887-05-09;;;;;;H: Biblioteka Jagiellońska Krakau;VK, 1 ½ S. + Umschlag ;
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1887-06-09;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 318;1 Dbl., 8°, 1 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Elisabeth Seeburg;;München;Venedig;high;1887-06-11;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 13;PK, 1 S.;
n;ed_prn_ptd_2vb;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1887-06-19;;;;;;;;D1: S[igmund] M[ün]z: Einige Briefe von Ferdinand Gregorovius. In: Neue Freie Presse. Nr. 11092. Wien 13.7.1895. Morgenblatt. S. 3 (gekürzt) – D2: Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 161–162
;ed_j2x_k3f_fvb;ED;Ferdinand Gregorovius;;Carlo Malagola;;München;Bologna;high;1887-06-19;;;;;;H: Istituzione Biblioteca Classense del Comune di Ravenna, Carte Malagola;BK, 2 S.;
;ed_qnq_c45_r5b;ED;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1887-06-19;;;;;;H: GSA Weimar, 96/937, 97;1 Dbl., 1 Bl., 8°, 5 ¾ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 189–191 (stark gekürzt)
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1887-06-28;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 443;1 Bl., 8°, 1 S.;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1887-06-29;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch V, 332;;
;;UN;Ferdinand Gregorovius;;Carlo Malagola;;München;Bologna;high;1887-07-03;;;;;;H: Istituzione Biblioteca Classense del Comune di Ravenna, Carte Malagola;BK, 1 S.;
n;;UN;Ferdinand Gregorovius;;Raffaele Mariano;;München;Neapel;high;1887-07-03;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 4 S.;
;;UN;Ferdinand Gregorovius;;Elisabeth Seeburg;;München;Aussee;high;1887-07-09;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 14;1 Dbl., 8°, 4 S.;
n;ed_jnc_4nv_r5b;ED;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Ottmachau;high;1887-07-09;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 8°, 4 S.;
;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1887-07-10;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 444;1 Bl., 8°, 1 ¼ S.;
n;ed_jq3_3qf_fvb;ED;Ferdinand Gregorovius;;Raffaele Mariano;;München;Neapel;high;1887-07-10;;;;;;H: Florenz, Privatarchiv Anrep;1 Dbl., 8°, 4 S.;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;München;high;1887-07-11;;;;;;h: DLA Marbach, Cotta-Archiv, Autorencopirbuch V, 344;;
n;;UN;Ferdinand Gregorovius;;F. A. Brockhaus Verlag;;München;Leipzig;high;1887-07-16;;;;;[Honorarquittung];H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 319;1 Dbl., 8°, ½ S.;
n;ed_gtp_g2g_fvb;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1887-07-26;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 163–164
n;;UN;Hermann von Thile;;Ferdinand Gregorovius;;Elisabethenruhe;München;high;1887-07-26;;;;;;;;Johannes Hönig: Staatsmann und Geschichtsschreiber. Altersbriefe des Staatssekretärs Hermann von Thile an Ferdinand Gregorovius. In: Die Kultur. Wissenschaftliche Beilage der Schlesischen Volkszeitung. Jg. 4. Nr. 7. Breslau (Juli) 1928. S. 152–154
;;UN;Ferdinand Gregorovius;;Anton Graf von Wolkenstein-Trostburg;;München;Wildbad;high;1887-08-08;;;;;;H: Basel, Erbengemeinschaft Wilhelm;1 Dbl., 8°, 3 ½ S.;
n;ed_l1m_n1w_r5b;ED;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;Ottmachau;high;1887-08-09;;;;;;H: Biblioteka Jagiellońska Krakau;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;München;Elisabethenruhe;high;1887-08-09;;;;;;H: GSA Weimar, 96/937, 98;2 Dbl., 8°, 7 ¼ S. ;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 191–193 (stark gekürzt)
;ed_jrh_kwg_fvb;ED;Ferdinand Gregorovius;;Costantino Maes;;München;Rom;high;1887-08-10;;;;;;H: BSB München, Autogr., Gregorovius, Ferdinand, 51;1 Dbl., 8°, 3 ¼ S. + Umschlag ;Lettere di Ferdinando Gregorovius al Direttore del Cracas. In: Il Cracas. Diario di Roma. Hrsg. von Costantino Maes. Jg. 1887/1888. Nr. 15. Rom 21.8.1887. S. 247–249
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1887-08-14;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 445;1 Bl., 8°, 1 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Raffaele Mariano;;München;Morschach;high;1887-08-21;;;;;;H: Florenz, Privatarchiv Anrep;PK, 1 S.;
n;;UN;Hermann von Thile;;Ferdinand Gregorovius;;Berlin;München;high;1887-08-26;;;;;;;;Johannes Hönig: Staatsmann und Geschichtsschreiber. Altersbriefe des Staatssekretärs Hermann von Thile an Ferdinand Gregorovius. In: Die Kultur. Wissenschaftliche Beilage der Schlesischen Volkszeitung. Jg. 4. Nr. 7. Breslau (Juli) 1928. S. 154–156
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;1887-08-28;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 446;BK, 1 ¾ S.;
n;;UN;Hermann von Thile;;Ferdinand Gregorovius;;Berlin;München;high;1887-09-08;;;;;;;;Johannes Hönig: Staatsmann und Geschichtsschreiber. Altersbriefe des Staatssekretärs Hermann von Thile an Ferdinand Gregorovius. In: Die Kultur. Wissenschaftliche Beilage der Schlesischen Volkszeitung. Jg. 4. Nr. 7. Breslau (Juli) 1928. S. 156–157
n;;UN;Ferdinand Gregorovius;;Eduard Brockhaus;;München;Leipzig;high;1887-09-18;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 320;1 Dbl., 8°, 1 ¾ S.;
n;ed_flw_w3h_fvb;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;München;Rom;high;1887-09-18;;;;;;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 164–166 (gekürzt)
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;München;Berlin;high;1887-09-18;;;;;;H: GSA Weimar, 96/937, 99;2 Dbl., 8°, 6 S. ;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 193–196 (stark gekürzt)
n;ed_y3h_dlw_r5b;ED;Ferdinand Gregorovius;;Gertrud Gräfin von Werthern-Beichlingen;;München;Beichlingen;high;1887-09-25;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Werthern, Gertrud von, 15;1 Dbl., 8°, 4 S.;
